Variable Name (Original),Functions,Description,Min,Max,Default,Unit,Citations
absTol,runToEquilibrium,stop the evolution if the absolute difference between the two oldest cohorts is less then this,,,1.00E-08,,
ageCohort,convertProfileAgeToDepth,"a dataframe specifying the age cohort. Must contain \code{layer_top}, \code{layer_bottom}, \code{age}, \code{fast_OM}, \code{slow_OM}, \code{mineral}, and \code{root_mass}.",,,,,
bMax,"predictedBiomass, runMemWithCohorts",maximum biomass,,,2500,,
capturedSediment,"availableSediment, deliveredSediment3TidalCycle, deliveredSedimentSimple","numeric, the fraction of available sediment captured by the marsh",,,1,,
chPalette,animateCohorts,"vector, a vector of colors to use to symbolize the different mass cohorts",,,,,
cohorts,"animateCohorts, trimCohorts","data frame, annually tracked soil mass cohorts output from runMemWithCohorts",,,,,
coreDepth,runMemWithCohorts,"an integer, depth, (optional) specify a depth to simulate coring to and assume 1 cm sampling intervals",,,100,,
coreMaxs,runMemWithCohorts,"a vector of sampling depth maximums (optional) to simulate coring subsables, this is an alternative to depth, and 1cm increments",,,1:coreDepth,,
coreMins,runMemWithCohorts,"a vector of sampling depth minimums (optional) to simulate coring subsables, this is an alternative to depth, and 1cm increments",,,coreMaxs-1,,
coreYear,runMemWithCohorts,"an integer, year in form YYYY, (optional) specify a year to simulate taking a sediment core",,,NA,,
datumHigh,floodTimeFromDatum,"a numeric, highest water level of the tidal period",,,,,
datumLow,floodTimeFromDatum,"a numeric, lowest water level of the tidal period",,,,,
duration,animateCohorts,"numeric, length in seconds of the animation",,,30,,
endYear,"buildScenarioCurve, runMemWithCohorts","an integer, year in form YYYY, the end year of the scenario",,,startYear + 99 ,,
expDecayRatePerMaxDepth,massLiveRoots,"a numeric, value for exponential decay rate per maximum root depth",,,log(0.05),,
filename,animateCohorts,"character, name of the output file",,,MEM-CTM-animated.gif,,
floodElv,predictLunarNodalCycle,"a numeric, high tide level over the last complete 18 year datum period",,,,,
floodPct,"availableSediment, deliveredSedimentSimple","a numeric, fraction of time per tidal cycle the marsh is inundated",,,,,
height,animateCohorts,"numeric, height in inches of the .gif",,,4.5,inches,
initElv,runMemWithCohorts,"a numeric, the initial elevation of the marsh at the start of the scenario",,,,,
layerBottom,"convertProfileAgeToDepth, massLiveRoots",a vector of the bottom of the soil layers we want to convert to.,,,,,
layerTop,"convertProfileAgeToDepth, massLiveRoots",a vector of the tops of the soil layers we want to convert to.,,,,,
lunarNodalAmp,"buildHighTideScenario,  predictLunarNodalCycle, runMemWithCohorts",the amplitude of the 18-year lunar nodal cycle,,,,,
massPools,addCohort,"A data frame containing the following colums: age, fast_OM, slow_OM, mineral, layer_top, layer_bottom, root_mass. Each row of this data frame represents a single cohort. To increase runtime in simulations, the profile is buffered with NA's at the top of the data frame, see code comments for details.",,,,,
maxAge,runToEquilibrium,do not run the model for longer then these many years,,,200,years,
meanHighHighWater,"deliveredSediment3TidalCycle, deliverSedimentFlexibly, runMemWithCohorts",,,,NA,,
meanHighHighWaterDatum,buildHighTideScenario,"a numeric, Mean Higher High Water level over the last datum period",,,,,
meanHighHighWaterSpring,"deliveredSediment3TidalCycle, deliverSedimentFlexibly, runMemWithCohorts",,,,NA,,
meanHighHighWaterSpringDatum,buildHighTideScenario,"a numeric, Mean Higher High Spring Tide Water level over the last datum period",,,,,
meanHighWater,"deliveredSediment3TidalCycle, deliveredSedimentSimple, deliverSedimentFlexibly, runMemWithCohorts,  convertZStarToZ, zToZstar,",,,,,,
meanHighWaterDatum,buildHighTideScenario,"a numeric, Mean High Water level over the last datum period",,,,,
meanLowLowWater,deliveredSediment3TidalCycle,"a numeric, Mean Lower Low Water level",,,meanSeaLevel - meanHighHighWater,,
meanLowLowWaterSpring,deliveredSediment3TidalCycle,"a numeric, Mean Low Lower Spring Tide Water level",,,meanSeaLevel - meanHighHighWaterSpring,,
meanLowWater,"deliveredSediment3TidalCycle, deliveredSedimentSimple","a numeric, Mean Low Water level",,,meanSeaLevel - meanHighWater,,
