Year, Month,  Highest, meanHighHighWater, meanHighWater, meanSeaLevel, MTL, meanLowWater, meanLowLowWater, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
1928,9,0.918,,0.000,-0.137,-0.137,-0.274,,,,0.274,,,10.040,4.080,-0.637,0
1928,10,0.369,,-0.097,-0.231,-0.234,-0.375,,,,0.277,,,10.050,4.030,-0.759,0
1928,11,0.278,,-0.262,-0.393,-0.399,-0.533,,,,0.271,,,10.060,3.990,-1.094,0
1928,12,0.064,,-0.262,-0.387,-0.390,-0.518,,,,0.256,,,10.170,4.070,-0.789,0
1929,1,0.217,,-0.402,-0.524,-0.527,-0.655,,,,0.253,,,10.340,4.090,-1.307,0
1929,2,0.095,,-0.228,-0.350,-0.353,-0.478,,,,0.250,,,10.180,4.200,-1.002,0
1929,3,0.156,,-0.216,-0.335,-0.341,-0.466,,,,0.250,,,10.290,3.970,-1.155,0
1929,4,0.247,,-0.076,-0.204,-0.210,-0.344,,,,0.268,,,10.190,4.070,-0.789,0
1929,5,0.308,,-0.137,-0.259,-0.268,-0.399,,,,0.262,,,10.250,4.020,-0.880,0
1929,6,0.247,,-0.045,-0.173,-0.182,-0.320,,,,0.274,,,10.210,3.970,-0.637,0
1929,7,0.278,,-0.091,-0.222,-0.228,-0.368,,,,0.277,,,10.130,4.040,-0.606,0
1929,8,0.247,,-0.070,-0.192,-0.204,-0.338,,,,0.268,,,10.070,4.130,-0.728,0
1929,9,0.247,,-0.033,-0.155,-0.164,-0.295,,,,0.262,,,10.080,4.170,-0.789,0
1929,10,0.979,,-0.094,-0.210,-0.222,-0.350,,,,0.256,,,10.150,4.200,-0.667,0
1929,11,0.156,,-0.146,-0.268,-0.271,-0.399,,,,0.253,,,10.100,4.120,-0.880,0
1929,12,0.217,,-0.265,-0.375,-0.381,-0.496,,,,0.232,,,10.080,4.060,-0.911,0
1930,1,0.217,,-0.243,-0.362,-0.368,-0.493,,,,0.250,,,10.370,3.980,-0.880,0
1930,2,0.156,,-0.192,-0.314,-0.314,-0.439,,,,0.247,,,10.130,4.100,-0.972,0
1930,3,0.369,,-0.210,-0.332,-0.338,-0.466,,,,0.256,,,10.240,4.110,-0.972,0
1930,4,0.186,,-0.201,-0.314,-0.314,-0.426,,,,0.226,,,10.080,4.080,-0.880,0
1930,5,0.186,,-0.176,-0.301,-0.301,-0.426,,,,0.250,,,10.070,3.940,-0.698,0
1930,6,0.156,,-0.122,-0.243,-0.256,-0.390,,,,0.268,,,10.160,4.020,-0.606,0
